time,data
1590394569.965871,34
1590394569.967561,34
1590394569.968685,34
1590394569.970479,34
1590394569.972421,34
1590394569.973528,34
1590394569.975360,34
1590394569.976407,34
1590394569.977818,34
1590394569.979333,43
1590394569.981252,43
1590394569.982306,43
1590394569.984133,43
1590394569.985188,43
1590394569.986250,43
1590394569.987557,43
1590394569.989522,43
1590394569.990975,43
1590394569.992916,43
1590394569.994027,43
1590394569.995845,43
1590394569.996908,43
1590394569.998039,43
1590394569.999915,43
1590394570.001246,43
1590394570.002703,43
1590394570.003770,43
1590394570.004839,43
1590394570.006005,43
1590394570.007594,43
1590394570.008684,43
1590394570.010255,43
1590394570.011464,43
1590394570.012944,43
1590394570.014406,43
1590394570.015461,43
1590394570.016536,43
1590394570.018005,43
1590394570.019290,43
1590394570.020343,43
1590394570.022205,43
1590394570.023710,43
1590394570.025190,43
1590394570.026283,43
1590394570.028060,43
1590394570.030089,52
1590394570.031988,52
1590394570.033440,52
1590394570.034887,52
1590394570.035967,52
1590394570.037811,52
1590394570.039784,52
1590394570.041246,52
1590394570.042687,52
1590394570.044647,52
1590394570.046127,52
1590394570.047279,52
1590394570.048566,52
1590394570.050073,52
1590394570.051491,52
1590394570.053432,52
1590394570.054913,52
1590394570.056038,52
1590394570.057820,52
1590394570.059298,52
1590394570.060756,52
1590394570.063237,52
1590394570.065159,52
1590394570.070722,52
1590394570.070912,52
1590394570.071272,52
1590394570.071353,52
1590394570.072001,52
1590394570.073453,52
1590394570.074910,52
1590394570.076888,52
1590394570.078038,52
1590394570.079467,61
1590394570.080767,61
1590394570.081953,61
1590394570.083730,61
1590394570.085155,61
1590394570.086620,61
1590394570.088093,61
1590394570.089586,61
1590394570.091518,61
1590394570.092799,61
1590394570.094439,61
1590394570.096375,61
1590394570.097493,61
1590394570.098858,61
1590394570.100276,61
1590394570.102229,61
1590394570.104189,61
1590394570.106138,61
1590394570.107238,61
1590394570.109124,61
1590394570.114159,61
1590394570.115482,61
1590394570.116592,61
1590394570.117855,61
1590394570.119408,61
1590394570.120780,61
1590394570.121981,61
1590394570.122897,61
1590394570.124212,61
1590394570.125844,61
1590394570.127160,61
1590394570.128271,61
1590394570.129944,69
1590394570.131072,69
1590394570.132495,69
1590394570.134496,69
1590394570.135619,69
1590394570.136888,69
1590394570.138471,69
1590394570.139851,69
1590394570.141401,69
1590394570.143238,69
1590394570.145169,69
1590394570.146321,69
1590394570.147638,69
1590394570.149102,69
1590394570.151058,69
1590394570.152556,69
1590394570.153996,69
1590394570.155922,69
1590394570.157392,69
1590394570.158862,69
1590394570.160311,69
1590394570.161393,69
1590394570.162820,69
1590394570.164250,69
1590394570.165694,69
1590394570.167631,69
1590394570.169146,69
1590394570.170623,69
1590394570.171670,69
1590394570.173489,69
1590394570.174977,69
1590394570.180758,69
1590394570.180864,69
1590394570.181325,69
1590394570.181410,75
1590394570.181880,75
1590394570.183250,75
1590394570.184306,75
1590394570.185674,75
1590394570.187660,75
1590394570.190090,75
1590394570.192029,75
1590394570.193547,75
1590394570.194946,75
1590394570.196005,75
1590394570.197551,75
1590394570.198890,75
1590394570.200373,75
1590394570.201817,75
1590394570.202858,75
1590394570.204252,75
1590394570.205680,75
1590394570.207155,75
1590394570.208645,75
1590394570.210573,75
1590394570.211631,75
1590394570.213015,75
1590394570.215014,75
1590394570.216424,75
1590394570.218363,75
1590394570.220374,75
1590394570.222287,75
1590394570.224222,75
1590394570.225303,75
1590394570.226442,75
1590394570.228143,75
1590394570.229576,75
1590394570.230586,79
1590394570.232051,79
1590394570.233500,79
1590394570.234996,79
1590394570.236928,79
1590394570.238045,79
1590394570.239912,79
1590394570.240963,79
1590394570.242077,79
1590394570.243341,79
1590394570.244839,79
1590394570.245970,79
1590394570.247646,79
1590394570.249125,79
1590394570.250571,79
1590394570.252550,79
1590394570.254045,79
1590394570.255599,79
1590394570.257400,79
1590394570.258529,79
1590394570.260377,79
1590394570.261486,79
1590394570.262808,79
1590394570.264248,79
1590394570.265716,79
1590394570.266830,79
1590394570.268143,79
1590394570.270104,79
1590394570.271675,79
1590394570.273015,79
1590394570.274097,79
1590394570.275515,79
1590394570.276934,79
1590394570.278053,79
1590394570.285884,79
1590394570.286517,79
1590394570.286637,79
1590394570.286980,79
1590394570.287066,79
1590394570.287257,79
1590394570.288706,79
1590394570.290195,79
1590394570.291258,79
1590394570.292539,79
1590394570.294023,79
1590394570.295464,79
1590394570.297417,79
1590394570.298510,79
1590394570.307322,79
1590394570.307432,79
1590394570.308614,79
1590394570.309108,79
1590394570.309200,79
1590394570.310007,79
1590394570.311154,79
1590394570.312598,79
1590394570.314075,79
1590394570.315511,79
1590394570.316941,79
1590394570.318123,79
1590394570.319448,79
1590394570.320876,79
1590394570.322043,79
1590394570.323794,79
1590394570.325278,79
1590394570.326899,79
1590394570.328199,79
1590394570.329643,79
1590394570.331139,77
1590394570.332217,77
1590394570.334043,77
1590394570.335488,77
1590394570.337430,77
1590394570.338514,77
1590394570.339563,77
1590394570.340863,77
1590394570.343460,77
1590394570.348447,77
1590394570.348567,77
1590394570.348865,77
1590394570.349064,77
1590394570.350181,77
1590394570.351627,77
1590394570.353051,77
1590394570.354557,77
1590394570.355982,77
1590394570.357451,77
1590394570.358611,77
1590394570.359931,77
1590394570.361359,77
1590394570.362836,77
1590394570.363963,77
1590394570.365268,77
1590394570.366721,77
1590394570.368187,77
1590394570.369881,77
1590394570.371609,77
1590394570.373553,77
1590394570.375050,77
1590394570.376513,77
1590394570.378082,77
1590394570.379415,77
